nom_model,type_reseau_de_neurone,winrate,training_time,nb_partie,nb_epoch,nb_simulation,batch_size,UBC_coef_C,temperature,dirichlet_epsilon,dirichlet_alpha,learning_rate,weight_decay
model_resnet-8_3_cycle.pt,resnet,47.0,223.61666666666667,26,3,319,1,1.24,0.945,0.42,0.46,6e-06,0.00035
model_resnet-8_4_cycle.pt,resnet,47.0,223.61666666666667,26,3,319,1,1.24,0.945,0.42,0.46,6e-06,0.00035
model_resnet-8_5_cycle.pt,resnet,49.5,223.61666666666667,26,3,319,1,1.24,0.945,0.42,0.46,6e-06,0.00035
model_resnet-8_6_cycle.pt,resnet,54.0,223.61666666666667,26,3,319,1,1.24,0.945,0.42,0.46,6e-06,0.00035

model_resnet-9_1_cycle.pt,resnet,49.5,158.15,26,3,319,1,1.24,0.945,0.42,0.46,0.0001,0.00035
model_resnet-9_2_cycle.pt,resnet,47.5,158.15,26,3,319,1,1.24,0.945,0.42,0.46,0.0001,0.00035
model_resnet-9_3_cycle.pt,resnet,53.5,158.15,26,3,319,1,1.24,0.945,0.42,0.46,0.0001,0.00035
model_resnet-9_4_cycle.pt,resnet,52.5,158.15,26,3,319,1,1.24,0.945,0.42,0.46,0.0001,0.00035
model_resnet-9_5_cycle.pt,resnet,55.5,158.15,26,3,319,1,1.24,0.945,0.42,0.46,0.0001,0.00035
model_resnet-9_6_cycle.pt,resnet,52.5,158.15,26,3,319,1,1.24,0.945,0.42,0.46,0.0001,0.00035

model_resnet-10_1_cycle.pt,resnet,53.5,111.79333333333334,20,1,200,2,1.24,0.945,0.42,0.46,0.0001,0.00035
model_resnet-10_2_cycle.pt,resnet,46.5,111.79333333333334,20,1,200,2,1.24,0.945,0.42,0.46,0.0001,0.00035
model_resnet-10_3_cycle.pt,resnet,56.5,111.79333333333334,20,1,200,2,1.24,0.945,0.42,0.46,0.0001,0.00035
model_resnet-10_4_cycle.pt,resnet,61.5,111.79333333333334,20,1,200,2,1.24,0.945,0.42,0.46,0.0001,0.00035
model_resnet-10_5_cycle.pt,resnet,62.0,111.79333333333334,20,1,200,2,1.24,0.945,0.42,0.46,0.0001,0.00035
model_resnet-10_6_cycle.pt,resnet,68.5,111.79333333333334,20,1,200,2,1.24,0.945,0.42,0.46,0.0001,0.00035
model_resnet-10_7_cycle.pt,resnet,63.0,111.79333333333334,20,1,200,2,1.24,0.945,0.42,0.46,0.0001,0.00035
model_resnet-10_8_cycle.pt,resnet,58.0,111.79333333333334,20,1,200,2,1.24,0.945,0.42,0.46,0.0001,0.00035
model_resnet-10_9_cycle.pt,resnet,69.0,111.79333333333334,20,1,200,2,1.24,0.945,0.42,0.46,0.0001,0.00035
model_resnet-10_10_cycle.pt,resnet,63.5,111.79333333333334,20,1,200,2,1.24,0.945,0.42,0.46,0.0001,0.00035
model_resnet-10_11_cycle.pt,resnet,61.5,111.79333333333334,20,1,200,2,1.24,0.945,0.42,0.46,0.0001,0.00035
model_resnet-10_12_cycle.pt,resnet,63.5,111.79333333333334,20,1,200,2,1.24,0.945,0.42,0.46,0.0001,0.00035
model_resnet-10_13_cycle.pt,resnet,60.5,111.79333333333334,20,1,200,2,1.24,0.945,0.42,0.46,0.0001,0.00035
model_resnet-10_14_cycle.pt,resnet,62.0,111.79333333333334,20,1,200,2,1.24,0.945,0.42,0.46,0.0001,0.00035
model_resnet-10_15_cycle.pt,resnet,61.5,111.79333333333334,20,1,200,2,1.24,0.945,0.42,0.46,0.0001,0.00035

model_resnet-11_1_cycle.pt,resnet,48.0,224.55,40,1,200,2,1.24,1.5,0.42,0.46,3e-05,0.00035
model_resnet-11_2_cycle.pt,resnet,43.5,224.55,40,1,200,2,1.24,1.5,0.42,0.46,3e-05,0.00035
model_resnet-11_3_cycle.pt,resnet,51.5,224.55,40,1,200,2,1.24,1.5,0.42,0.46,3e-05,0.00035
model_resnet-11_4_cycle.pt,resnet,54.5,224.55,40,1,200,2,1.24,1.5,0.42,0.46,3e-05,0.00035
model_resnet-11_5_cycle.pt,resnet,57.0,224.55,40,1,200,2,1.24,1.5,0.42,0.46,3e-05,0.00035
model_resnet-11_6_cycle.pt,resnet,52.5,224.55,40,1,200,2,1.24,1.5,0.42,0.46,3e-05,0.00035
model_resnet-11_7_cycle.pt,resnet,61.5,224.55,40,1,200,2,1.24,1.5,0.42,0.46,3e-05,0.00035
model_resnet-11_8_cycle.pt,resnet,64.5,224.55,40,1,200,2,1.24,1.5,0.42,0.46,3e-05,0.00035
model_resnet-11_9_cycle.pt,resnet,71.5,224.55,40,1,200,2,1.24,1.5,0.42,0.46,3e-05,0.00035
model_resnet-11_10_cycle.pt,resnet,72.5,224.55,40,1,200,2,1.24,1.5,0.42,0.46,3e-05,0.00035

model_resnet-12_1_cycle.pt,resnet,44.0,223.71999999999997,40,1,200,2,1.24,1.5,0.42,0.46,5e-05,0.00035
model_resnet-12_2_cycle.pt,resnet,51.0,223.71999999999997,40,1,200,2,1.24,1.5,0.42,0.46,5e-05,0.00035
model_resnet-12_3_cycle.pt,resnet,54.0,223.71999999999997,40,1,200,2,1.24,1.5,0.42,0.46,5e-05,0.00035
model_resnet-12_4_cycle.pt,resnet,46.0,223.71999999999997,40,1,200,2,1.24,1.5,0.42,0.46,5e-05,0.00035
model_resnet-12_5_cycle.pt,resnet,56.5,223.71999999999997,40,1,200,2,1.24,1.5,0.42,0.46,5e-05,0.00035
